time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date,open,high,low,close,volume
1744876800,2025-04-17 04:00:00,2.3,36.1,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",8.8,14.1,294,WNW,1016.0,30.0,0.0,0.0,0.0,83,0,-1.4,29.4,-1.4,29.4,2.3,36.1,-0.4,31.2,0,0,0,0,10.0,6.0,15.6,25.1,0.0,,,0,2025-04-17,237.4492,239.118,237.4492,238.6015,225
1744880400,2025-04-17 05:00:00,2.6,36.7,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",8.5,13.7,295,WNW,1016.0,30.02,0.0,0.0,0.0,84,0,-1.0,30.3,-1.0,30.3,2.6,36.7,-0.4,31.3,0,0,0,0,10.0,6.0,15.1,24.3,0.0,,,0,2025-04-17,238.6213,239.5749,238.1147,238.959,112
1744884000,2025-04-17 06:00:00,3.0,37.4,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",8.4,13.5,296,WNW,1017.0,30.04,0.0,0.0,0.0,77,0,-0.5,31.1,-0.5,31.1,3.0,37.4,-0.9,30.4,0,0,0,0,10.0,6.0,14.9,23.9,0.0,,,0,2025-04-17,238.82,239.6643,237.2208,237.5982,2164
1744887600,2025-04-17 07:00:00,3.4,38.1,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",8.8,14.1,300,WNW,1018.0,30.05,0.0,0.0,0.0,73,0,-0.1,31.8,-0.1,31.8,3.4,38.1,-1.1,30.0,0,0,0,0,10.0,6.0,15.2,24.4,2.0,,,0,2025-04-17,237.5088,239.853,237.4095,238.4922,2423
1744891200,2025-04-17 08:00:00,5.6,42.2,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",9.9,16.0,308,NW,1019.0,30.1,0.0,0.0,0.0,69,0,2.4,36.3,2.4,36.3,5.6,42.2,-1.3,29.6,0,0,0,0,10.0,6.0,16.4,26.4,3.0,,,0,2025-04-17,237.6975,241.5714,236.9724,239.3365,6393
1744894800,2025-04-17 09:00:00,7.8,46.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",13.4,21.6,310,NW,1019.0,30.1,0.0,0.0,0.0,57,0,4.4,40.0,4.4,40.0,7.8,46.0,-0.5,31.1,0,0,0,0,10.0,6.0,18.8,30.2,3.0,,,0,2025-04-17,238.3233,239.1378,235.8103,238.9938,480530
1744898400,2025-04-17 10:00:00,9.9,49.8,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",11.3,18.2,313,NW,1019.0,30.1,0.0,0.0,0.0,51,0,7.4,45.4,7.4,45.4,9.9,49.8,-0.0,31.9,0,0,0,0,10.0,6.0,19.6,31.6,3.0,,,0,2025-04-17,239.1378,239.1849,236.4559,237.3227,424622
1744902000,2025-04-17 11:00:00,11.9,53.4,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.9,17.5,314,NW,1019.0,30.1,0.0,0.0,0.0,45,0,10.0,49.9,10.0,49.9,11.9,53.4,0.4,32.7,0,0,0,0,10.0,6.0,19.0,30.6,4.0,,,0,2025-04-17,237.34,239.267,237.34,238.3829,430510
1744905600,2025-04-17 12:00:00,13.3,56.0,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.5,16.9,314,NW,1019.0,30.1,0.0,0.0,0.0,38,0,11.8,53.3,11.8,53.3,13.3,56.0,-0.3,31.5,0,0,0,0,10.0,6.0,18.4,29.7,4.0,,,0,2025-04-17,238.4723,240.151,237.9459,239.848,419117
1744909200,2025-04-17 13:00:00,14.5,58.1,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.7,17.3,316,NW,1019.0,30.09,0.0,0.0,0.0,35,0,13.3,55.9,13.3,55.9,14.5,58.1,-0.6,30.8,0,0,0,0,10.0,6.0,18.6,29.9,4.0,,,0,2025-04-17,239.848,240.002,237.7224,239.257,406417
1744912800,2025-04-17 14:00:00,15.3,59.5,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.7,17.2,312,NW,1019.0,30.09,0.0,0.0,0.0,32,0,15.3,59.5,15.3,59.5,15.3,59.5,-1.0,30.2,0,0,0,0,10.0,6.0,18.5,29.7,5.0,,,0,2025-04-17,239.2272,240.156,238.6511,238.7206,594570
1744916400,2025-04-17 15:00:00,15.8,60.4,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",10.7,17.2,307,NW,1019.0,30.08,0.0,0.0,0.0,31,0,15.8,60.4,15.8,60.4,15.8,60.4,-1.0,30.2,0,0,0,0,10.0,6.0,18.4,29.6,5.0,,,0,2025-04-17,238.7306,238.7802,236.744,237.3201,1079319
1744920000,2025-04-17 16:00:00,16.1,60.9,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",11.1,17.8,302,WNW,1018.0,30.07,0.0,0.0,0.0,31,0,16.1,60.9,16.1,60.9,16.1,60.9,-1.0,30.2,0,0,0,0,10.0,6.0,18.7,30.1,5.0,,,0,2025-04-17,237.2208,240.3795,237.2108,238.2975,1774485
